,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2017 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
35,Angola,,24,"12,171","14,269","16,441","19,553","23,369","27,859","29,784","5,951","6,972","8,034","9,557","11,433","13,654","14,605","6,220","7,297","8,407","9,996","11,936","14,206","15,179"
36,Cameroon,,120,"11,715","13,461","15,274","17,421","19,970","22,835","24,054","5,818","6,696","7,614","8,699","9,985","11,424","12,038","5,897","6,765","7,661","8,722","9,985","11,410","12,015"
37,Central African Republic,,140,"2,940","3,353","3,755","4,128","4,449","4,546","4,659","1,444","1,648","1,848","2,035","2,195","2,242","2,298","1,496","1,705","1,907","2,093","2,254","2,304","2,361"
38,Chad,,148,"5,957","7,001","8,343","10,067","11,887","14,009","14,900","2,957","3,482","4,155","5,025","5,945","7,011","7,458","3,000","3,519","4,187","5,042","5,942","6,998","7,442"
39,Congo,,178,"2,440","2,799","3,226","3,718","4,387","4,996","5,261","1,217","1,396","1,611","1,858","2,194","2,499","2,632","1,223","1,403","1,615","1,860","2,193","2,497","2,629"
40,Democratic Republic of the Congo,,180,"34,615","41,596","47,076","54,751","64,523","76,197","81,340","17,080","20,583","23,345","27,205","32,121","37,996","40,581","17,534","21,012","23,732","27,547","32,402","38,201","40,759"
41,Equatorial Guinea,,226,427,505,614,757,951,"1,175","1,268",212,255,318,401,516,648,702,215,250,296,356,435,527,566
42,Gabon,,266,952,"1,086","1,231","1,403","1,640","1,930","2,025",466,534,611,703,837,992,"1,040",486,552,620,700,803,938,985
43,Sao Tome and Principe,,678,114,126,139,156,175,196,204,56,63,69,77,87,97,102,57,64,70,78,88,98,103
44,Northern Africa,,912,"141,238","158,115","172,559","187,832","204,310","225,136","233,604","71,048","79,570","86,737","94,367","102,501","113,063","117,350","70,190","78,545","85,822","93,466","101,809","112,073","116,254"
