,Country Name,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
129,"Micronesia, Fed. Sts.",1758.708959,2286.77923,2472.299737,2898.409605,3230.949855,3483.455937,3622.331967
130,Moldova,..,1899.622233,1839.712736,2945.080151,3831.749187,5054.682473,5697.834883
131,Monaco,..,..,..,..,..,..,..
132,Mongolia,3310.861431,3094.184139,3689.703496,5384.323071,7552.665586,12152.17138,12999.5288
133,Montenegro,..,..,6001.709187,8313.692214,13648.23275,16272.19565,18765.1058
134,Morocco,2528.458556,2854.5881,3553.994247,4773.984071,6312.915427,7770.245991,8217.456796
135,Mozambique,244.6592081,272.2719658,445.1502637,661.0487226,899.1987281,1190.755747,1247.275563
136,Myanmar,480.2066369,675.8951196,1035.524118,2025.540178,3645.936435,5384.869389,6138.761026
137,Namibia,3696.56091,4298.183267,4839.87524,6464.093344,8289.696027,10622.15643,10475.51927
138,Nauru,..,..,..,..,6459.080878,13066.20362,14157.53321
139,Nepal,774.2732467,985.5234149,1220.424872,1499.722461,1945.806681,2464.389033,2681.843838
140,Netherlands,18910.91252,23109.29325,31591.92861,37265.34509,44542.83655,49527.66966,52503.26827
141,New Caledonia,..,..,..,..,..,..,..
142,New Zealand,14874.73123,17904.35837,21509.41191,25677.1039,31265.73845,37864.99954,41109.00768
143,Nicaragua,1941.273584,2149.458712,2739.388794,3358.645014,3947.216766,5278.44924,5842.171881
144,Niger,578.1712435,572.0576476,597.1897004,679.5562182,797.7699585,967.0846194,1016.613626
145,Nigeria,1965.827996,2005.079214,2257.525221,3694.485774,5045.978167,6038.462315,5860.84706
146,Northern Mariana Islands,..,..,..,..,..,..,..
147,Norway,18442.12536,24320.86866,36950.49466,47772.43008,58022.03349,61722.23991,61414.28137
148,Oman,22648.88883,27936.61014,34848.67962,36914.22638,44418.77038,42459.75058,41675.34375
149,Pakistan,1974.517294,2448.166983,2770.166499,3573.525102,4196.955809,5000.283839,5527.377674
150,Palau,..,..,9821.543196,12636.80942,11606.93399,14938.64319,14536.04091
151,Panama,5076.963602,6749.091373,8421.509944,10629.15229,15312.44725,22134.9748,24445.97147
